frame_index,timestamp,pred,event_cls,x,y
47935,1764853802491.3333,0.07315944599776918,0,621.2222086588541,137.44444020589194
47936,1764853802522.4443,0.07315944599776918,0,620.8518405490452,135.48147752549914
47937,1764853802553.5557,0.07315944599776918,0,620.4814724392361,133.51851484510632
47938,1764853802584.6667,0.07315944599776918,0,620.1111043294271,131.55555216471353
47939,1764853802615.7778,0.07315944599776918,0,619.740736219618,129.59258948432074
47940,1764853802646.889,0.07765114755832399,0,619.3703681098091,127.62962680392796
47941,1764853802678.0,0.11956653211597634,0,619.0,125.66666412353516
47942,1764853802710.0,0.11298689590637045,0,619.3333435058594,124.5
47943,1764853802742.0,0.12812383333523897,0,619.6666870117188,123.33333587646484
47944,1764853802774.0,0.12747365880511916,0,619.3333740234375,122.66666412353516
47945,1764853802805.182,0.0855582742474668,0,619.2651922052556,122.65908848155628
47946,1764853802836.3635,0.08106657268691199,0,619.1970103870739,122.65151283957742
47947,1764853802867.5454,0.07178803764218047,0,619.128828568892,122.64393719759856
47948,1764853802898.7273,0.07178803764218047,0,619.0606467507102,122.63636155561969
47949,1764853802929.9092,0.07178803764218047,0,618.9924649325284,122.6287859136408
47950,1764853802961.0908,0.07178803764218047,0,618.9242831143466,122.62121027166194
47951,1764853802992.2727,0.07178803764218047,0,618.8561012961648,122.61363462968306
47952,1764853803023.4546,0.07178803764218047,0,618.787919477983,122.6060589877042
47953,1764853803054.6365,0.07178803764218047,0,618.7197376598011,122.59848334572531
47954,1764853803085.818,0.07178803764218047,0,618.6515558416194,122.59090770374644
47955,1764853803117.0,0.07178803764218047,0,618.5833740234375,122.58333206176758
47956,1764853803148.182,0.07178803764218047,0,618.5151922052556,122.5757564197887
47957,1764853803179.3635,0.07178803764218047,0,618.4470103870739,122.56818077780984
47958,1764853803210.5454,0.07178803764218047,0,618.378828568892,122.56060513583095
47959,1764853803241.7273,0.07178803764218047,0,618.3106467507102,122.5530294938521
47960,1764853803272.9092,0.07178803764218047,0,618.2424649325284,122.54545385187322
47961,1764853803304.0908,0.07178803764218047,0,618.1742831143466,122.53787820989436
47962,1764853803335.2727,0.07178803764218047,0,618.1061012961648,122.53030256791548
47963,1764853803366.4546,0.07178803764218047,0,618.037919477983,122.5227269259366
47964,1764853803397.6365,0.07178803764218047,0,617.9697376598011,122.51515128395774
47965,1764853803428.818,0.07178803764218047,0,617.9015558416194,122.50757564197887
47966,1764853803460.0,0.07178803764218047,0,617.8333740234375,122.5
47967,1764853803491.182,0.07178803764218047,0,617.7651922052556,122.49242435802113
47968,1764853803522.3635,0.07178803764218047,0,617.6970103870739,122.48484871604226
47969,1764853803553.5454,0.07178803764218047,0,617.628828568892,122.4772730740634
47970,1764853803584.7273,0.07178803764218047,0,617.5606467507102,122.46969743208452
47971,1764853803615.9092,0.07178803764218047,0,617.4924649325284,122.46212179010564
47972,1764853803647.0908,0.07178803764218047,0,617.4242831143466,122.45454614812678
47973,1764853803678.2727,0.07178803764218047,0,617.3561012961648,122.4469705061479
47974,1764853803709.4546,0.07178803764218047,0,617.287919477983,122.43939486416905
47975,1764853803740.6365,0.07178803764218047,0,617.2197376598011,122.43181922219016
47976,1764853803771.818,0.07178803764218047,0,617.1515558416194,122.4242435802113
47977,1764853803803.0,0.07178803764218047,0,617.0833740234375,122.41666793823242
